"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"58","STRI_F_R002","F_R002","R002","FUN",NA,NA,"12855_0407_1_01",NA,"UR002","Healthy",20190924,NA,"Unsterile root",5.6,""
"59","STRI_F_R003","F_R003","R003","FUN",NA,NA,"12855_1901_1_01",NA,"UR003","Healthy",20190924,NA,"Unsterile root",13.2,""
"60","STRI_O_R003","O_R003","R003","OOMY",NA,NA,"12855_1901_1_02",NA,"UR004","Healthy",20190924,NA,"Unsterile root",13.2,""
"61","STRI_F_R004","F_R004","R004","FUN",NA,NA,"12855_0820_1_08",NA,"UR004","Healthy",20191011,NA,"Unsterile root",16.9,""
"62","STRI_O_R004","O_R004","R004","OOMY",NA,NA,"12855_0820_1_09",NA,"UR005","Healthy",20191011,NA,"Unsterile root",16.9,""
"63","STRI_F_R005","F_R005","R005","FUN",NA,NA,"02512_0820_1_11",NA,"UR005","Healthy",20191011,NA,"Unsterile root",6.2,""
"64","STRI_F_R006","F_R006","R006","FUN",NA,NA,"12249_0820_1_08",NA,"UR006","Healthy",20191011,NA,"Unsterile root",7.6,""
"65","STRI_F_R007","F_R007","R007","FUN",NA,NA,"13665_1901_1_02",NA,"UR007","",20190927,NA,"Unsterile root",3.4,""
"66","STRI_O_R007","O_R007","R007","OOMY",NA,NA,"13665_1901_1_03",NA,"UR008","",20190927,NA,"Unsterile root",3.4,""
"67","STRI_F_R011","F_R011","R011","FUN",NA,NA,"41607_0820_1_02",NA,"UR011","",20190927,NA,"Unsterile root",4.1,""
"68","STRI_O_R011","O_R011","R011","OOMY",NA,NA,"41607_0820_1_03",NA,"UR012","",20190927,NA,"Unsterile root",4.1,""
"69","STRI_F_R015","F_R015","R015","FUN",NA,NA,"12249_0820_1_05",NA,"UR015","",20190927,NA,"Unsterile root",1.7,""
"70","STRI_O_R015","O_R015","R015","OOMY",NA,NA,"12249_0820_1_06",NA,"UR016","",20190927,NA,"Unsterile root",1.7,""
"71","STRI_F_R019","F_R019","R019","FUN",NA,NA,"12249_0407_1_03",NA,"UR019","",20190927,NA,"Unsterile root",1.2,""
"72","STRI_F_R022","F_R022","R022","FUN",NA,NA,"12249_0803_1_01",NA,"UR022","",20190927,NA,"Unsterile root",0.5,""
"73","STRI_F_R026","F_R026","R026","FUN",NA,NA,"41607_0820_1_05",NA,"UR026","",20190927,NA,"Unsterile root",1.6,""
"74","STRI_F_R029","F_R029","R029","FUN",NA,NA,"01401_1901_3_02",NA,"UR029","",20190828,NA,"Unsterile root",8.1,""
"75","STRI_F_R030","F_R030","R030","FUN",NA,NA,"13687_0820_1_06",NA,"UR030","",20190826,NA,"Unsterile root",3.4,""
