Seedling_ID,Sample_Name,Tube_Sample,Sample,Group,Tube_label,Sample_type,Sample_weight_mg,Seedling_species,Adult_tag,Adult_species,Identifier,Soil_sample_number,Seedling_status_at_collection,Date_seedling_collected,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,...24
01772_1901_3_02,STRI_O_R131,O_R131,R131,OOMY,UR132,Unsterile root,4.8,SA,1772,HC,N,NA,Healthy,20190826,NA,NA,1_G9,NA,S_G9,NA,L_G9,NA,IMG_4455.HEIC,DP,Yes,No,No,No,NA,NA
02512_0407_1_01,STRI_F_R253,F_R253,R253,FUN,UR253,Unsterile root,32.7,DG,2512,HT,1,15,Healthy,20190921,NA,NA,B1_8B,NA,NA,B_I6,NA,B_A7,IMG_4784.JPG,JS,Yes,No,Yes,Yes,Few roots excavated,NA
02512_0407_1_01,STRI_F_L222,F_L222,L222,FUN,L222,Sterile leaf,57.2,DG,2512,HT,1,15,Healthy,20190921,NA,NA,B1_8B,NA,NA,B_I6,NA,B_A7,IMG_4784.JPG,JS,Yes,No,Yes,Yes,Few roots excavated,NA
02512_0407_2_01,STRI_F_R252,F_R252,R252,FUN,UR252,Unsterile root,37.8,DG,2512,HT,N1,2,Pathogen,20190917,20190920,NA,B1_9B,NA,NA,S_A1,NA,L_A2,IMG_4757.JPG,RP,Yes,No,Yes,Yes,NA,NA
02512_0803_3_01,STRI_F_R251,F_R251,R251,FUN,UR250,Unsterile root,4.5,HC,2512,HT,N,5,Pathogen,20190920,20190925,20190925,B1_4D,NA,NA,B_H4,NA,B_C3,IMG_4797.JPG,RP,Yes,No,Yes,Yes,NA,Possible mixup with sterile-unsterile
02512_0803_3_01,STRI_F_L232,F_L232,L232,FUN,L232,Sterile leaf,49.5,HC,2512,HT,N,5,Pathogen,20190920,20190925,20190925,B1_4D,NA,NA,B_H4,NA,B_C3,IMG_4797.JPG,RP,Yes,No,Yes,Yes,NA,Possible mixup with sterile-unsterile
02512_0820_1_01,STRI_F_R166,F_R166,R166,FUN,UR166,Unsterile root,3,HT,2512,HT,1,NA,Healthy,20190814,NA,NA,1_H1,NA,NA,NA,NA,NA,NA,DP,Yes,No,No,No,From census record,NA
02512_0820_1_02,STRI_F_R189,F_R189,R189,FUN,UR189,Unsterile root,16,HT,2512,HT,2,55,Healthy,20191011,NA,20191015,B1_8A,Bag,Bag,Bag,Bag,Bag,IMG_4872.JPG,JS,Yes,Yes,Yes,Yes,Unclear whether root tip is available,NA
02512_0820_1_02,STRI_F_L187,F_L187,L187,FUN,L187,Sterile leaf,33,HT,2512,HT,2,55,Healthy,20191011,NA,20191015,B1_8A,Bag,Bag,Bag,Bag,Bag,IMG_4872.JPG,JS,Yes,Yes,Yes,Yes,Unclear whether root tip is available,NA
02512_0820_1_07,STRI_F_R184,F_R184,R184,FUN,UR184,Unsterile root,3,HT,2512,HT,7,55,Healthy,20191011,NA,20191015,B1_4B,Bag,Bag,Bag,Bag,Bag,IMG_4980.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
02512_0820_1_07,STRI_F_L186,F_L186,L186,FUN,L186,Sterile leaf,23,HT,2512,HT,7,55,Healthy,20191011,NA,20191015,B1_4B,Bag,Bag,Bag,Bag,Bag,IMG_4980.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
02512_0820_1_11,STRI_F_R005,F_R005,R005,FUN,UR005,Unsterile root,6.2,HT,2512,HT,11,55,Healthy,20191011,NA,20191015,B1_1B,Bag,Bag,Bag,Bag,Bag,IMG_4978.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
02512_0820_1_11,STRI_F_L005,F_L005,L005,FUN,L005,Sterile leaf,44.1,HT,2512,HT,11,55,Healthy,20191011,NA,20191015,B1_1B,Bag,Bag,Bag,Bag,Bag,IMG_4978.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
02512_0820_2_03,STRI_F_L112,F_L112,L112,FUN,L112,Sterile leaf,56.1,HT,2512,HT,N3,9,Pathogen,20190920,20190925,20190925,B1_2D,A_D8,NA,B_H6,NA,B_C1,IMG_4799.JPG,RP,Yes,Yes,Yes,Yes,"Duplicates stored in E_A1, E_A2, E_I9, E_I8",Possible mixup with sterile-unsterile
02512_1901_3_01,STRI_F_R216,F_R216,R216,FUN,UR216,Unsterile root,26.4,SA,2512,HT,NA,NA,Healthy,20190903,NA,NA,1_F8,NA,S_F8,NA,L_F8,NA,NA,NA,Yes,No,No,No,NA,Status unknown. No indication it was not healthy though
03546_0407_2_01,STRI_F_R060,F_R060,R060,FUN,UR060,Unsterile root,8.6,DG,3546,HC,N1,NA,Pathogen,20190927,20190929,20190929,B1_7D,NA,NA,B_G7,NA,B_C9,IMG_4845.JPG,RP,Yes,No,Yes,Yes,NA,NA
03546_0407_2_01,STRI_F_L062,F_L062,L062,FUN,L062,Sterile leaf,52.8,DG,3546,HC,N1,NA,Pathogen,20190927,20190929,20190929,B1_7D,NA,NA,B_G7,NA,B_C9,IMG_4845.JPG,RP,Yes,No,Yes,Yes,NA,NA
03546_0407_3_01,STRI_F_R127,F_R127,R127,FUN,UR127,Unsterile root,8.5,DG,3546,HC,N,NA,Healthy,20190822,NA,NA,1_C2,NA,S_C3,NA,L_C3,NA,IMG_4337.HEIC,DP,Yes,No,No,No,NA,NA
03546_0407_3_02,STRI_F_R130,F_R130,R130,FUN,UR130,Unsterile root,17,DG,3546,HC,N,NA,Healthy,20190822,NA,NA,1_C3,NA,NA,NA,L_C2 . L_B2,NA,IMG_4339.HEIC,DP,Yes,No,No,No,NA,NA
03546_0407_3_03,STRI_O_R130,O_R130,R130,OOMY,UR131,Unsterile root,17,DG,3546,HC,N,NA,Healthy,20190826,NA,NA,1_B4,NA,S_B4,NA,L_B4,NA,IMG_4451.HEIC,DP,Yes,No,No,No,NA,NA
03546_0803_1_01,STRI_F_R204,F_R204,R204,FUN,UR204,Unsterile root,10,HC,3546,HC,1,36,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4931.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
